O B-Medication O O O O O O O O O O O O O O O O O O O	The ambien kicked in and Karen is here talkin my head off I'm about to throw my remote at her forehead
O O O O O B-Medication O O O O O O O O O O O O	I'm so scared that my epidural is not gonna work 😭 😭 I'm in full panic mode .
O O O O O O O O B-Medication I-Medication O O O O O	@USER I even drink it to take my prenatal pills , I'm a weirdo 😂
O O O O O O O O O O O O O O B-Medication I-Medication O O O O O O O	@USER BODY GLIDE before you walk . If it's red and irritated afterwards some Hydrocortisone cream always helps with short term use .
O O O O O O O O O O O O O O O O O O O O O O B-Medication O O O	@USER no they're holding off until 4 bc the nurses didn't give me enough gels last night & started me late on pitosin today 🙄 😭
O O O O O O O O O O O O O B-Medication O O O O O O O	@USER oh lawd 😭 😭 that's kinda why I want to get the epidural 😩 so I won't feel stitches 😂
O O B-Medication O O O O O O O O O O O O O	Sprite and Zantac .. Maybe 🍕 wasn't the best idea . 😂 # pregnancyissues # itsnotrainbowsandunicorns
O B-Medication I-Medication O O O O O O O O O	My iron pill makes me me feel crappy as heck . 🙄
O O O O O B-Medication O O O	Bout to be in a Benadryl induced coma 😴
O O O O O O O B-Medication O O O O	@USER 🤔 🤔 I might get the IUD then 😭 😭 😂
O O O O B-Medication O O O O	So much information on vaccines . Oh my .
O O O O O O O O O O O O O O O O O O O B-Medication O	Balloon is out and it did its job ... I'm now at 5cm and we've just started a little pitocin :)
O O O B-Medication O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O	I can't stomach prenatals or any other vitamins to help , so being able to stomach something nutritious for my baby is a big thing to me . ❤ ️
O O O O O O O O O O B-Medication O O O O	@USER he's been ok'd my his doc to take baby Benadryl ... Just saying .
O O B-Medication O O O O O O O O O O O	Blonde , Botox , boobs . Fat cunt will love her . # CelebrityBigBrother
O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O O O O O O O	I take a baby aspirin every night before bed , for my # FactorVLeiden , and I throw it back up every morning # fvl # pregnancyproblems # conundrum
O O B-Medication O	@USER @USER sudafed .
O O O O O O B-Medication I-Medication O O O O O O	Soo about to see how this castor oil works 😂 come on Mason .
O O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O	They say if you take a Benadryl it'll knock you and your baby out , only my child will be in my belly having a dollar party still 🙄
O B-Medication O O O O O O O O O O O O O O O O O O O O O O O O O O O	My zofran pump is my biggest insecurity right now , but it saved mine & my babies life . That usually helps me ignore the stares 💕 # hyperemesis
O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Medication	Laying in from of the TV listening to the campfire channel on TV . My Saturday nights have become so tame . # PJs # water # Gaviscon
B-Medication O O O O O	Tums are my new best friend
O O O O O O O O O B-Medication O O O O O O	Heartburn woke me up at 4:30 am . C'mon Gaviscon , do your thing ! !
O O O O O O O O O O O O O O O O O O O O O O O O B-Medication I-Medication O O O	A horrible migraine kept me from working a full day at work . Also , half my department has the flu . Hopefully my flu shot works ! !
O O O O O O B-Medication O O O O O	I liked a @USER video URL Lupron self injection .. Yikes !
O O O O O B-Medication O O O	@USER awwe mane where that epidural at 😩 😩
O O O O O O O O O O O O O O O O B-Medication O O O O O O O O O O O O O O O O	@USER best advice you can ever get , drink a gallon of water and take a Tylenol before you go out love ! ! Lol happy early bday 🍻 🍺 🍻 🍺 🍻
O O O O O O O O O O O O O O B-Medication O O O O O O O O O O O O	@USER It's an old one & absolutely absurd . Type 1 diabetics go on insulin to save their lives . They don't magically develop DM from GMO
O O O O O O O O O O B-Medication O O O O O O O O O O O	Jesus Christ how did I let myself run out of painkillers ? ? Fuuuuuuuck I can barely move out of bed !
O O O O O O O O O O B-Medication I-Medication O O O O O O O O O	I can't type properly tonight ! Too much TV and flu medication ... I'm going back to my sofa home .
O O O O O O B-Medication O O O O O O O O O O O O O	The only thing I hate about IUD are the cramps 💆 🏻 like wtf I feel like imma die sometimes
O O O O O O O O O O O O O O O O O O B-Medication O O O O O	I don't get it all the other doctors said she was good so I'm not giving her stupid steroids it's gonna make her overweight
O O O O O O O O O B-Medication O	Pregnancy Accomplishments ? Finished off a large bottle of Tums .
O O O O O O B-Medication O O O O O O O O O O O O	@USER I sucked back so much entonox over the labour I had a massive hangover the next day .
B-Medication O O O O	tylenol is gay af .
O O O O O O O O O O O O O O O B-Medication O O O O O O O O O O O O O	@USER how was I supposed to know ? It's one full bottle and a few pills in the other . Gotta find them . You can have them .
O O B-Medication O O O O O O B-Medication O O	@USER well nitrous .. those college boys did straight nitrous.oh lord .
O O O O O O O O O O O O O O O O B-Medication O O O O	@USER the burn is real . I am having a hard time breathing . Need my Tums to kick in 😖
O O O O O O O O O O B-Medication O O O O O O O	@USER Aww , thanks for the encouragement ! You took antibiotics and it took care of it ?
O O O O O O O O O O O O O O O O O O O O O B-Medication O	And dnt be mad cause my relaxer look bomb and i got a head full of hair ... eat u some prenatals ...
O O O O O O B-Medication O O	Keep tellin ppl ian getting da epidural . Lol
O O O O O O O O B-Medication O O O O O O O O	@USER I'm totes fine - just need a Tylenol and to teach my dog some compassion 😂
O B-Medication O O O O O O	@USER epidural is for quitters . lol .
O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O	@USER yep . Antibiotics & prayers that it passes & doesn't spread to my other ear since I took all of my vacation time already .
O O O O O O O O B-Medication O O O O O O O O O O O O O O O O O O	Not sure if I should ask for my epidural already or not ... I'm so scared of how much pain it's gonna be ! ! ! 😔
O O O O B-Medication O O O O O O O O O O O O O O O O O O O O	@USER I used the entonox for hours . Sucked back two portable tanks . Couple hours post birth . Massive headache and eye pain .
O O O O O O O O O B-Medication O O O O O O O O O O O	@USER I took the ' Canadian version ' of Unisom and thankfully slept decently with just the regular bathroom breaks haha
O O O O O O O O O O O O O O O O O O O B-Medication O O	Told me to make friends with other real housewives of Brentwood so we could talk about rich husbands and Botox 😭 😂
O O O O B-Medication O O O O O O B-Medication O O O O O O O O O	@USER you can try vitamins for Olivia ! Hudson has taken vitamins since the NICU & it helps him gain weight
O O O O O O O B-Medication O	@USER 🤔 you must have got an epidural ?
O O O O O O O O O O O O O O O O O B-Medication O O	My little Ains is under the weather . She is has viral tonsillitis . They don't give antibiotics … URL
O O O O O O O O B-Medication O O O O	@USER Braylon and yep with the help of epidural keeping the pain away
O O O B-Medication O O O O O O O O O O O O O O O O O	@USER I'm allowed gravol for nights I can't get to sleep . Not as strong as good stuff but something ?
O O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O	If anyone tells you that the epidural won't make your back hurt . THEM HOES ARE LYING . My lower back has been in pain since .
O B-Medication I-Medication I-Medication O O O O O O O O O O	my birth control patch has made my tits huge as fuq 🙏 # thankyou
O O O O O O O O O O O B-Medication O O O O O O O O O O O O O O O O	@USER Hey ! He is sleep ... still has a Lil anesthesia ... but had 2 bottles of Pedialyte and hasn't thrown up ... might be home today
O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O O O O O	Off to get my flu shot at work today , want to get a head start at building my immunity to protect me and baby ! # getyourflushot
O O O O B-Medication O O O O O O O O O O O O O O	Yeah im allergic to codiene * idunno if I spelled that right * I learned that the hard way
B-Medication I-Medication O O O O O O O O O O O O O O O O O O	Steroid injections sting like a trooper ! ! I don't mind needles but frig me the liquid hurts ! !
O O O O O O B-Medication I-Medication I-Medication O O O O O O O O O O O O O O O O O O O O O O O	“ @USER : U got a birth control shot so u wouldn't get pregnant . Now you fat and look pregnant from the side effects . ” 😂 😂 😂 LOL !
O O O B-Medication	I need some tums
O O O O O O O O O O O O O B-Medication O O O O O O O O	Me & baby are sick 😔 I have strep throat & I'm taking Tylenol for fever ... 😢 Pray for us 💔
O O O O O O O O O O O O O O B-Medication O O O O O O O O O	@USER I got asked if I tried ginger ... I'm on 8 pills of diclectin a day ... yeah , I've tried everything !
O O O O O O O O O O O O O O O O O B-Medication O O O O O B-Medication O O O O O O	@USER oh nooo ! ! Do you take anything for it ? I have to take 150mg Zantac twice a day & drink gaviscon extra strength whenever I need ..
O O O O O B-Medication O O O O O O O O O O O O O O	Hudson is FINALLY off his antibiotics & his IV drip 👏 🏼 🙌 🏼 one step closer to coming home
O O O O O B-Medication O O O O O O O O O O O O O O O O	@USER they might give you steroids to help her lungs & another medication that will stop contractions , that usually works !
O B-Medication I-Medication O O O O O O O O O O O O O O O O O	The caffeine pills have finally worn off , time to get a half hour nap before James wakes up again
O O B-Medication O O O O O O O O	Imma get Botox so my brows can be snatched like @USER
O O O O O O O O B-Medication O O O O O O O O O O O O	Staying in the hospital tonight.Diagnosed with preeclampsia.Was given shotsto make her lungs grow faster , and hoping she stays baking longer
O O O O O O O O O O O O O O O O B-Medication O O O O O O O O O O O O O O	I'm all like babe I love you but stay the fuck away from me * throws Tylenol & wet rag from across room * & sleep on the couch tonight 🙃
O O B-Medication I-Medication O O O O O	These new prenatal vitamins make me sick . 😖
O O O O O O O O O O O O O O O O O O B-Medication I-Medication O O O O	“ @USER : Women who pretend to like football are the same women who pretend to be on birth control . ” 😂 😂
O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O	My diet consists of adderall for breakfast , beer for dinner , & cake pops for bed time snack . So I should be skinny again soon .
O O O O O O O O O O O O O O B-Medication O O O O O O O O O O O	Maintaining my most minimal level of regular activity is becoming so hard 😭 + tylenol / naps no longer fix everything . Just sore foreverrrrr 😵
O O O O O O O O O O O O B-Medication O O B-Medication O O O O O O	@USER God knows I need that . Will need to check my prenatal & daily multivitamin to see if I need more
O B-Medication I-Medication O O O O O	these prenatal vitamins got me feeling sick ):
O O O O O O O O O O B-Medication O O O O O O O O O O O O O O O	Like you know how I'm extra cause I don't need Botox cause I don't have wrinkles but I got it to stop them in case lmao
O O O O O O O O B-Medication O O O O O O O O O O O O O O O O O	I wanna have my son natural w no epidural . that back pain it leave you w unt unt I already had back problems before him
O O O O O O O B-Medication O O O O O O O O O O O	The fact that i didn't take my pill by accident lastnight and im insanely sick today .. # woops
O O O O O O O O O B-Medication I-Medication O O O O O O O	I swear I think I'm the only person who's prenatal pills makes them feel sick af ! !
O O O O O O O O O O O O O O O O B-Medication I-Medication O O O O O O O O O O O O O O	Told Jordan to bring me Tylenol & a phenergen & just realized he gave me two Tylenol pm .. its only 2 and I got no sleep last night . Not good
O O O O O O O O O O B-Medication I-Medication O O	And all because I said she couldn't have her brothers epilepsy meds ! URL
O O O O O O O O O O B-Medication O O O O O O O O O O O O O O	Cannot understand how a nurse accepts and approves of GMO insulin for diabetics , but says GMO crops are poisonous ? # facepalm # lostthebattle
O O O O O O O O B-Medication O O O O O O O	@USER thanks , I'm 16wks & still taking diclectin ... so eventually I'll feel wonderful :)
O O O O O O O B-Medication O O O O O	I sleep next to a bottle of tums . # fuckheartburn # kissmyASS
O O O O O O O O O O O O O O O O O O O B-Medication I-Medication O O O O O O O O	# HeadDesk of the day , courtesy of the # RiteAid website . You better run a deal on headache meds , RiteAid . You owe me . URL
O O O O O B-Medication O O O O O	Y'all can give me more Ambien if y'all like . 😂
O O O O B-Medication O O O O O O O O O O O O O	Ended up getting an epidural and I feel great . Time to try to get some sleep .
O B-Medication I-Medication O O O O O O O O O O	my pain meds don't even work for me anymore ): this sucks .
O O O O O B-Medication O	Thank god , hallelujah for percocet .
O O O O O O O O B-Medication O O O O O O O O O O O O O O O O	Once I have my son I'm getting the nexplanon because it has no side effects I do t want to get fat like other people
O O O O O O O O O O O O O O O O O O O O O O O O B-Medication O	Sorry I just slammed that energy drink , fetus . This house HAS to get clean & because of you they took away my adderall .
O B-Medication I-Medication I-Medication O O O O O O O O O O O O O O	@USER VitaFusion prenatal gummies w / all the flavors is literally so delicious , I could overdose 😅
O O O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O	I'm still amazed how fast that castor oil worked ... I literally took it at 11:30 pm and my water broke at 4:30 am 🙌 🏾
O O O O O O O O B-Medication O O O O O O O B-Medication O O	Holy heartburn ! Already took a dose of Tums and still raging ! Send help & antacids ! !
O O O O O O B-Medication O O O	Stephanie sounds like she needs some decongestant ! # RAW
O O O O O O O O O O O O O B-Medication O O O O O O O O O O O O	@USER I am burping him a few times through feed . Just put infacol on my asda delivery . Thanks for reminding me about it !
O O O O O O O O O O O O O O O O O O O O O O B-Medication O O O	So ill with flu / cold symptoms I can barely lift my head ! Anyone know of any preggo-friendly remedies ( besides paracetamol ) ? 😰
O O O O O O O O O O O O O O O O O B-Medication	@USER he said I was dehydrated which could cause the cramping so I got some fluids and antibiotics
O O O O O O B-Medication O O B-Medication I-Medication O	@USER did you have the actual shot or the nasal spray ?
O O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O	The FACT I drunk this castor oil shit twice don't make no fucking sense ... I wouldn't wish that on my worst enemy 😷
O O O O B-Medication O O	High af off the morphine ... lol
O O O O O O O O O O O O O O O O O O B-Medication O O O O	I hate that I had to get a C section because now my back kills me from the epidural I had to get
O O O O O O O O O O O O O O O O O O B-Medication O	@USER That's what I'm nervous about , bc I sleep so damn much ! Did you get an epidural ?
O O O O B-Medication O O O O O O O O O O O	But I got my IUD just in case lmfao Rosie's going to be an only child
O O O O B-Medication I-Medication O O O O O O O O O O O	Has anyone gotten the depo shot ? If so , what's your opinion on it ? 🤔
O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O O O O	My 4th Rhogam shot hurt just as bad as my 1st one . O negative blood is a blessing & a curse . # crybaby
O O O O O O B-Medication O O O O O O O O O O O O O O O O O	@USER She is currently on a morphine drip & hospice is taking over . trying to just make her comfortable at this point .
O O O O O O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O	However , if I paired the wine with some muscle relaxers , I might have a greater understanding of what it's like to be Rush Limbaugh ... # Hmmm
O O O O O O O O O O O O O O O O O O O B-Medication I-Medication O O	Just started on my second venti iced coffee from # Starbucks . Drowsiness is INDEED a side effect of muscle relaxers ! =(
O O O O O O O O B-Medication O O O O O O O O O O O O O O O O	# ad Are you good about taking # vitamins ? # HealthYourself and try out a supplement recommender to find your best bets ! URL
B-Medication I-Medication O O O O O	Birth control ✔ ️ Prenatal ✔ ️
O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O B-Medication I-Medication O O O O O	When your birth control alarm goes off & wakes the baby that just fell asleep ... it reminds you why you take birth control in the 1st place .
O O O O O O O O O O O O O O B-Medication I-Medication O O O O O O O O O O	I really need to pack a bag for Tulsa this weekend but taking a muscle relaxer and passing out in this recliner sounds soooooooo much better
O O O O O O O O O O O O O O O O O O O O O O O O B-Medication I-Medication	Thank god it was just a false alarm I don't want to get pregnant any time soon I'm so scared to stop taking my birth control
O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O	@USER Well I was on magnesium . They did labs on me every 4 hours just to make sure I didnt have a lot of it … URL
O O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O O O O O O	I fucking hate how these pain meds make me feel but I'm too sore to function if I don't take them 😭 I just want to feel normal again .
O O O O O O O O O O O O O O O O O O O O O O O O O O B-Medication O O O O	@USER hopefully I can shake most of it off today , if not , it's not the end of the world . I can only take Tylenol though ! boo !
O O O O O O O O O O O O O O O O O O O O B-Medication O O O O O O O O O	Also , I think my husband is trying to romance me as he came home with a NEW flavour of Tums that I haven't yet tried . ;) # pregnancy
O O O O O B-Medication O O O O O O O O O O O O O O O O O O O	You won't start feeling the pictocin for about an hour Uh bullshit I've been having contractions since that shit hit my system 😶 😶 😶
O O O O O O O O O O B-Medication I-Medication O O O O O O O O	@USER the AC can dry you out . Get a saline spray . Helps keep it from super drying .
O O O O O O O O O O O O O B-Medication O O O O	Just kidding .. more lab work , more doctor visits , and more antibiotics through my veins 😥
O B-Medication O O O O O O O O O O O O O	@USER Tylenol is great for throat pain.The nurse in me goes to drugs first ;)
O O O O O O O B-Medication I-Medication O O O O O O O O O O O O O	@USER Try generic ( Wal-Mart brand ) Prilosec OTC gel capsules . It's the ONLY thing that has helped with my pregnancy
O O O O O O B-Medication O	@USER regardless I'm getting the damn epidural 💅
O O B-Medication O O O O O O O O O O O O O O	Last min oxys so i can sleep ... juju knocked ... and rell at home cleaning lol
O O O O O O O O O O O O O O O O O O O O O O O O O O B-Medication O	@USER Ugh . I had a sinus infection last Winter and could not get over the teeth pain . So annoying . I ended up on antibiotics .
O O O O O B-Medication O O O O O O O O O O O O O O O O	Getting ' upgraded ' from Tums to a daily OTC . Too bad tomorrow is Christmas Eve so stores will be nuts
O O O O O O O O O O O O O O O B-Medication I-Medication	Last time I had a sore arm from a vaccine was when I got my meningitis vaccine
O O O O B-Medication O	Shoulda took some more NyQuil 😔
O O O O O O O O O B-Medication O O O O O O O O O O O O O	Evan & I went into Target to buy some vitamins . We came out with $ 150 + worth of stuff . 😅
O O O O O O B-Medication I-Medication O O O O O O O O O O O O	@USER honestly I'm high on American flu medication so I don't even know my own name right now ! 😂
B-Medication I-Medication I-Medication O O O O O O O O O	Nasal flu vac for children .. anyones kids get side effects ?
O O O O O O B-Medication O O O O O O O O O O O O O O O O O O O	So explain to me how GMO insulin is poison ? Without it , diabetics die . Citations for poisoning people and the planet please . @USER
O O O O O O B-Medication O O O	They still want to give her steroids like no foh
O O O O B-Medication O	@USER she had a epidural ?
O O O O O O O O O O O O O O O O O O O B-Medication O O O O	I'm working on it ! 4:00 am now . Pain was intense so I just had a magical wonderful epidural from the … URL
O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O	@USER I didn't take prenatals at all , people didn't back in the day so I don't think it's necessary . Just eat healthy & drink water 😊
O O O O O O O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O O	My friend asked me where she can go to get birth control and I was telling Jay about it and he goes God you sound like a mom 😂 😂
O O O O O O O O O O B-Medication I-Medication O O	Feeling great even after giving birth to Jayce without any pain meds . :)
O B-Medication O O O O O O O O O O O O O O O O O	This morphine don't work 🙄 I've pressed this button like 4 times & I still feel like shit 😭
O O B-Medication I-Medication O O	Why are prenatal vitamins pricey ?
B-Medication I-Medication I-Medication O O O O O O O O O O O O O O O O O	Tylenol + Codeine ALWAYS makes me feel so weird but it's the only thing that helps my migraines 😞 😩
O O O O O O O O B-Medication O O O O O O O O	For now after this baby I'm getting the nexplanon for 6 years 3 then another 3 lol
O O O O O O O O O O O O O B-Medication O O O O	I don't wanna take medicine so im just going to try to take emergen-c and hope it helps
O O O O O O O O O O O O O O B-Medication O O O O O O O	I told Michelle Obama I haven't eaten anything in 3 days because I have adderall now . She high fived me .
O O O O B-Medication I-Medication O O O O O O O O O O O O O O O O B-Medication O O O O	Just took my first muscle relaxer to help with my back pain . I don't see what all the fuss is about painkillers , I sdfbyese 5i6tygfdshbve4eui
O B-Medication I-Medication O O	these pain meds suck lol
O O O B-Medication I-Medication	I need some Pepto Bismol
O O B-Medication O B-Medication O O O O O O O O	Is it Tylenol or ibuprofen that you can take while pregnant ? 🤔
O O O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O	My kids are so envious of the Tums that I chomp on regularly . They cry and beg to have one . Ridiculous . They think I'm chowing candies ? !
O O O O O O O O O O O O O O O O O B-Medication O B-Medication O O O O	@USER I just shouldn't have said anything ... the advise she pours in 😉 I just want Sudafed and NyQuil dammit ! ! !
O O O B-Medication I-Medication O O O O O	Why does my prenatal vitamin smell like dogs medicine lol
O O O O O O O O O O O O O O O O O O O O O O	@USER yeah irking he need his ass whoop I really don't feel good I swear I'm about to go to the hospital
O O O O	Panda Express 🐼 😛
O O O O O O O O O O O O O O O O O O O O O O O	Well .. technology wins agains . People are fighting for an increase in minimum wage , meanwhile the jobs they are ... URL
O O O O O O	@USER what happened ? ? ?
